Year|Code|Title|Instructor|School|Term|Period|Classroom|c_id
2025|GENX201S|Intermediate Seminar (Shakespearean Tragedy) [E] 01|YAGI, Naoko|Schl Political Sci/Econo|spring semester|['Mon.2']|['3-713']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1100001S360120251100001S3611&pLng=en
2025|POLX401L|Research Methods in Political Science (Empirical Analysis) [E] 02|TAGO, Atsushi|Schl Political Sci/Econo|fall semester|['Thur.1']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1100009H010220251100009H0111&pLng=en
2025|POLX401L|Research Methods in Political Science (Normative Studies) [E] 02|INAMURA, Kazutaka|Schl Political Sci/Econo|fall semester|['Fri.1']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1100009H020220251100009H0211&pLng=en
2025|POLX401L|Research Methods in Political Science (Formal Models) [E] 02|KURIZAKI, Shuhei|Schl Political Sci/Econo|fall semester|['Mon.3']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1100009H030220251100009H0311&pLng=en
2025|POLX421L|Reading Seminar in Political Thought [E] 01|YAZAWA, Masashi／YAMAOKA, Ryuichi|Schl Political Sci/Econo|spring semester|['Thur.2']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1101005812012025110100581211&pLng=en
2025|POLX441L|Reading Seminar in International Relations [E] 01|KURIZAKI, Shuhei|Schl Political Sci/Econo|fall semester|['Mon.4']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1101005814012025110100581411&pLng=en
2025|POLX451L|Reading Seminar in Public Administration [E] 01|INATSUGU, Hiroaki／OKAMOTO, Mitsuhiko|Schl Political Sci/Econo|spring semester|['Tues.3']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1101005815012025110100581511&pLng=en
2025|GENX201S|Intermediate Seminar (Labour Economics) [E] 01|RUJIWATTANAPONG, Wongkot Similan|Schl Political Sci/Econo|spring semester|['Mon.4']|['3-709']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S2201202511G0001S2211&pLng=en
2025|GENX201S|Intermediate Seminar (Labour Market Dynamics) [E] 01|RUJIWATTANAPONG, Wongkot Similan|Schl Political Sci/Econo|spring semester|['Mon.5']|['3-709']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S2901202511G0001S2911&pLng=en
2025|GENX201S|Intermediate Seminar (Introduction to Empirical Economics) [E] 01|YOSHIDA, Masahiro|Schl Political Sci/Econo|fall semester|['Fri.2']|['3-608']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S3301202511G0001S3311&pLng=en
2025|GENX201S|Intermediate Seminar (Introduction to Japan's International Relations) [E] 01|FUJITA, Goro|Schl Political Sci/Econo|spring semester|['Wed.3']|['3-704']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S3401202511G0001S3411&pLng=en
2025|GENX201S|Intermediate Seminar (Russo-Japanese Relations) [E] 01|SHULATOV, Yaroslav|Schl Political Sci/Econo|spring semester|['Thur.3']|['3-1104演習室']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S3501202511G0001S3511&pLng=en
2025|GENX201S|Intermediate Seminar (Democracy: For and Against) [E] 01|KOBAYASHI, Takuto|Schl Political Sci/Econo|fall semester|['Tues.3']|['3-1104演習室']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S3701202511G0001S3711&pLng=en
2025|GENX201S|Intermediate Seminar (Postwar Japan and Asia) [E] 01|FUJITA, Goro|Schl Political Sci/Econo|fall semester|['Tues.3']|['7-303']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S3801202511G0001S3811&pLng=en
2025|GENX201S|Intermediate Seminar (Mathematical and numerical methods for social sciences) [E] 01|KVASOV, Dmitriy|Schl Political Sci/Econo|fall semester|['Thur.2']|['3-708']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S4201202511G0001S4211&pLng=en
2025|GENX201S|Intermediate Seminar (Mathematical and numerical methods for social sciences) [E] 02|KVASOV, Dmitriy|Schl Political Sci/Econo|spring semester|['Thur.2']|['3-710']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S4202202511G0001S4211&pLng=en
2025|GENX201S|Intermediate Seminar (Problems of History and Historiography)[E] 01|KARAISL, Antonia|Schl Political Sci/Econo|fall semester|['Wed.2']|['3-711']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S4601202511G0001S4611&pLng=en
2025|GENX201S|Intermediate Seminar (Alphabetism: A Historical Survey of Writing Culture in Europe) [E] 01|KARAISL, Antonia|Schl Political Sci/Econo|fall semester|['Wed.4']|['3-608']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S4701202511G0001S4711&pLng=en
2025|GENX201S|Intermediate Seminar (Valuing Democracy: Non-Instrumental Approaches) [E] 01|KOBAYASHI, Takuto|Schl Political Sci/Econo|spring semester|['Fri.5']|['3-604']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S4901202511G0001S4911&pLng=en
2025|GENX201S|Intermediate Seminar (Empirical Analysis of Issues in Development Economics) [E] 01|PERVIN, Shahida|Schl Political Sci/Econo|spring semester|['Mon.3']|['3-708']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S5101202511G0001S5111&pLng=en
